,DFIPFuture_burned_AAPL,DFIPFuture_burned_ARKK,DFIPFuture_burned_DUSD,DFIPFuture_current_AAPL,DFIPFuture_current_ARKK,DFIPFuture_current_DUSD,DFIPFuture_minted_AAPL,DFIPFuture_minted_AMZN,DFIPFuture_minted_ARKK,DFIPFuture_minted_BABA,DFIPFuture_minted_COIN,DFIPFuture_minted_DIS,DFIPFuture_minted_DUSD,DFIPFuture_minted_EEM,DFIPFuture_minted_FB,DFIPFuture_minted_GLD,DFIPFuture_minted_GME,DFIPFuture_minted_GOOGL,DFIPFuture_minted_INTC,DFIPFuture_minted_MCHI,DFIPFuture_minted_MSFT,DFIPFuture_minted_MSTR,DFIPFuture_minted_NFLX,DFIPFuture_minted_NVDA,DFIPFuture_minted_PDBC,DFIPFuture_minted_PLTR,DFIPFuture_minted_QQQ,DFIPFuture_minted_SLV,DFIPFuture_minted_SPY,DFIPFuture_minted_TLT,DFIPFuture_minted_TSLA,DFIPFuture_minted_URTH,DFIPFuture_minted_VNQ,DFIPFuture_minted_VOO,DFIPFuture_current_PDBC,DFIPFuture_current_NFLX,DFIPFuture_burned_NFLX,DFIPFuture_burned_PDBC,DFIPFuture_current_GOOGL,DFIPFuture_burned_GOOGL,DFIPFuture_current_FB,DFIPFuture_burned_FB,DFIPFuture_minted_BRK.B,DFIPFuture_minted_KO,DFIPFuture_minted_PG,DFIPFuture_minted_PYPL,DFIPFuture_current_COIN,DFIPFuture_current_QQQ,DFIPFuture_current_GLD,DFIPFuture_current_GME,DFIPFuture_current_TSLA,DFIPFuture_current_MSTR,DFIPFuture_current_EEM,DFIPFuture_current_PLTR,DFIPFuture_burned_EEM,DFIPFuture_burned_GME,DFIPFuture_burned_MSTR,DFIPFuture_burned_PLTR,DFIPFuture_burned_TSLA,DFIPFuture_current_GSG,DFIPFuture_current_URA,DFIPFuture_burned_CS,DFIPFuture_burned_URA,DFIPFuture_current_CS,DFIPFuture_minted_CS,DFIPFuture_minted_GSG,DFIPFuture_minted_SAP,DFIPFuture_minted_URA,DFIPFuture_current_AMZN,DFIPFuture_minted_AMZN/v1,DFIPFuture_current_BABA,DFIPFuture_burned_BABA,DFIPFuture_current_SPY,DFIPFuture_current_SAP,DFIPFuture_current_PG,DFIPFuture_burned_PG,DFIPFuture_burned_SAP,DFIPFuture_burned_SPY,DFIPFuture_current_NVDA,DFIPFuture_current_TLT,DFIPFuture_burned_NVDA,DFIPFuture_burned_TLT,DFIPFuture_current_BRK.B,DFIPFuture_current_DIS,DFIPFuture_current_MSFT,DFIPFuture_current_URTH,DFIPFuture_current_VNQ,DFIPFuture_current_KO,DFIPFuture_burned_BRK.B,DFIPFuture_burned_DIS,DFIPFuture_burned_KO,DFIPFuture_burned_MSFT,DFIPFuture_burned_URTH,DFIPFuture_burned_VNQ,DFIPFuture_minted_PPLT,DFIPFuture_minted_TAN,DFIPFuture_minted_XOM,DFIPFuture_current_INTC,DFIPFuture_burned_AMZN,DFIPFuture_burned_GSG,DFIPFuture_burned_INTC,DFIPFuture_minted_GOVT,DFIPFuture_burned_GOOGL/v1,DFIPFuture_current_GOOGL/v1,DFIPFuture_minted_GOOGL/v1,DFIPFuture_burned_GME/v1,DFIPFuture_current_GME/v1,DFIPFuture_minted_GME/v1,DFIPFuture_burned_COIN,DFIPFuture_minted_ADDYY,DFIPFuture_minted_DAX,DFIPFuture_minted_GS,DFIPFuture_minted_JNJ,DFIPFuture_burned_TSLA/v1,DFIPFuture_current_TSLA/v1,DFIPFuture_minted_TSLA/v1,DFIPFuture_current_GOVT,DFIPFuture_current_SLV,DFIPFuture_current_VOO,DFIPFuture_burned_QQQ,DFIPFuture_burned_SLV,DFIPFuture_burned_VOO
2022-04-15 13:01:17.187993,0.05,0.1,3268163.64762059,0.05,0.1,3274865.49955408,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 14:01:38.776789,0.05,0.1,3268163.64762059,0.05,0.1,3274865.49955408,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 15:01:35.751869,0.05,0.1,3268163.64762059,0.05,0.1,3274865.49955408,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 16:01:36.409684,0.05,0.1,3268163.64762059,0.05,0.1,3274865.49955408,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 17:01:39.780053,0.05,0.1,3268163.64762059,0.05,0.1,3274865.49955408,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 18:01:07.182041,0.05,0.1,3268163.64762059,0.05,0.1,3274865.49955408,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 19:01:26.519496,0.05,0.1,3268163.64762059,0.05,0.1,3274970.01616505,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 20:01:32.999979,0.05,0.1,3268163.64762059,0.05,0.1,3274970.01616505,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 21:01:35.065988,0.05,0.1,3268163.64762059,0.05,0.1,3274970.01616505,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-15 22:01:33.753835,0.05,0.1,3268163.64762059,0.05,0.1,3274970.01616505,1783.71497039,55.5552952,1928.28253577,522.8536581,957.5986398,46.75476497,23.48087503,840.41672384,39.44174718,443.80559912,34.13275728,79.13752455,1181.43450848,573.83590137,531.25335838,247.52861964,196.93485331,1275.83473311,2613.20468578,9134.67725531,1203.64677401,1213.87563857,50.2108033,10.05190247,501.82295594,896.26001387,27.01735183,3.55680983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
